n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
4789	4789	7542	2753	0.609831	4789	0	0	4373	1.09513	2765.41	1	2
4790	4790	7546	2756	0.609958	4790	0	0	4374	1.09511	2765.97	1	2
4791	4791	7554	2763	0.610085	4791	0	0	4375	1.09509	2766.53	1	2
4792	4792	7555	2763	0.610213	4792	0	0	4376	1.09506	2767.09	1	2
4793	4793	7557	2764	0.61034	4793	0	0	4376	1.09529	2767.33	1	2
4794	4794	7561	2767	0.610467	4794	0	0	4377	1.09527	2767.9	1	2
4795	4795	7565	2770	0.610595	4795	0	0	4378	1.09525	2768.45	1	2
4796	4796	7567	2771	0.610722	4796	0	0	4379	1.09523	2769.06	1	2
4797	4797	7571	2774	0.610849	4797	0	0	4381	1.09496	2769.63	1	2
4798	4798	7574	2776	0.610977	4798	0	0	4382	1.09493	2770.22	1	2
4799	4799	7576	2777	0.611104	4799	0	0	4382	1.09516	2770.92	1	2
4800	4800	7583	2783	0.611231	4800	0	0	4383	1.09514	2771.52	1	2
